,id,title,area,interpretability,doi
25,116,Multi-Level Knowledge Distillation for Out-of-Distribution Detection in Text,Virtual Poster,,10.18653/v1/2023.acl-long.403
26,118,Finding the Pillars of Strength for Multi-Head Attention,Posters,,10.18653/v1/2023.acl-long.812
27,120,PRAM: An End-to-end Prototype-based Representation Alignment Model for Zero-resource Cross-lingual Named Entity Recognition,,,10.18653/v1/2023.findings-acl.201
28,129,Improving Gradient Trade-offs between Tasks in Multi-task Text Classification,Virtual Poster,,10.18653/v1/2023.acl-long.144
29,133,"Divide, Conquer, and Combine: Mixture of Semantic-Independent Experts for Zero-Shot Dialogue State Tracking",Dialogue and Interactive Systems,False,10.18653/v1/2023.acl-long.114
30,138,Class based Influence Functions for Error Detection,Posters,,10.18653/v1/2023.acl-short.104
31,140,Large Language Models Meet NL2Code: A Survey,Virtual Poster,,10.18653/v1/2023.acl-long.411
32,145,Misleading Relation Classifiers by Substituting Words in Texts,,,10.18653/v1/2023.findings-acl.232
33,150,Meta-training with Demonstration Retrieval for Efficient Few-shot Learning,,,10.18653/v1/2023.findings-acl.376
34,153,Kanbun-LM: Reading and Translating Classical Chinese in Japanese Methods by Language Models,,,10.18653/v1/2023.findings-acl.545
35,157,TranSFormer: Slow-Fast Transformer for Machine Translation,Virtual Poster,,10.18653/v1/2023.findings-acl.430
36,158,Enhancing Cross-lingual Transfer via Phonemic Transcription Integration,,,10.18653/v1/2023.findings-acl.583
37,159,Disentangling Reasoning Capabilities from Language Models with Compositional Reasoning Transformers,,,10.18653/v1/2023.findings-acl.480
38,162,ERNIE-Code: Beyond English-Centric Cross-lingual Pretraining for Programming Languages,,,10.18653/v1/2023.findings-acl.676
39,164,Zemi: Learning Zero-Shot Semi-Parametric Language Models from Multiple Tasks,,,10.18653/v1/2023.findings-acl.246
40,165,An Extensive Exploration of Back-Translation in 60 Languages,,,10.18653/v1/2023.findings-acl.518
41,171,Adversarial Knowledge Stimulated Contrastive Prompting for Few-shot Language Learners,,,10.18653/v1/2023.findings-acl.852
42,176,A Class-Rebalancing Self-Training Framework for Distantly-Supervised Named Entity Recognition,Virtual Poster,,10.18653/v1/2023.findings-acl.703
43,178,Efficient Shapley Values Estimation by Amortization for Text Classification,Interpretability and Analysis of Models for NLP,True,10.18653/v1/2023.acl-long.483
44,181,ColD Fusion: Collaborative Descent for Distributed Multitask Finetuning,Posters,,10.18653/v1/2023.acl-long.46
45,183,Rarely a problem? Language models exhibit inverse scaling in their predictions following few-type quantifiers,,,10.18653/v1/2023.findings-acl.891
46,186,Faithful Question Answering with Monte-Carlo Planning,Virtual Poster,,10.18653/v1/2023.acl-long.218
47,187,Text Augmentation Using Dataset Reconstruction for Low-Resource Classification,Virtual Poster,,10.18653/v1/2023.findings-acl.466
48,194,Language Agnostic Multilingual Information Retrieval with Contrastive Learning,Virtual Poster,,10.18653/v1/2023.findings-acl.581
49,197,Subjective Crowd Disagreements for Subjective Data: Uncovering Meaningful CrowdOpinion with Population-level Learning,Posters,,10.18653/v1/2023.acl-long.54
50,202,Enhancing Unsupervised Semantic Parsing with Distributed Contextual Representations,Virtual Poster,,10.18653/v1/2023.findings-acl.726
51,203,Modeling Appropriate Language in Argumentation,Posters,,10.18653/v1/2023.acl-long.238
52,206,Annotation-Inspired Implicit Discourse Relation Classification with Auxiliary Discourse Connective Generation,Posters,,10.18653/v1/2023.acl-long.874
53,211,Downstream Datasets Make Surprisingly Good Pretraining Corpora,Posters,,10.18653/v1/2023.acl-long.682
54,220,SCCS: Semantics-Consistent Cross-domain Summarization via Optimal Transport Alignment,,,10.18653/v1/2023.findings-acl.101
55,221,Controlling Styles in Neural Machine Translation with Activation Prompt,,,10.18653/v1/2023.findings-acl.163
56,228,MvP: Multi-view Prompting Improves Aspect Sentiment Tuple Prediction,Virtual Poster,,10.18653/v1/2023.acl-long.240
57,230,Towards Robust Low-Resource Fine-Tuning with Multi-View Compressed Representations,Posters,,10.18653/v1/2023.acl-long.264
58,232,GRACE: Gradient-guided Controllable Retrieval for Augmenting Attribute-based Text Generation,,,10.18653/v1/2023.findings-acl.530
59,233,UniLG: A Unified Structure-aware Framework for Lyrics Generation,Virtual Poster,,10.18653/v1/2023.acl-long.56
60,236,MultiCapCLIP: Auto-Encoding Prompts for Zero-Shot Multilingual Visual Captioning,Virtual Poster,,10.18653/v1/2023.acl-long.664
61,240,Unsupervised Keyphrase Extraction by Learning Neural Keyphrase Set Function,,,10.18653/v1/2023.findings-acl.156
62,245,Hybrid Knowledge Transfer for Improved Cross-Lingual Event Detection via Hierarchical Sample Selection,Virtual Poster,,10.18653/v1/2023.acl-long.296
63,249,Character-Aware Models Improve Visual Text Rendering,Posters,,10.18653/v1/2023.acl-long.900
64,250,COGEN: Abductive Commonsense Language Generation,Information Extraction / Generation,False,10.18653/v1/2023.acl-short.26
65,253,NoisywikiHow: A Benchmark for Learning with Real-world Noisy Labels in Natural Language Processing,,,10.18653/v1/2023.findings-acl.299
66,254,Joint End-to-end Semantic Proto-role Labeling,Posters,,10.18653/v1/2023.acl-short.63
67,255,Are Message Passing Neural Networks Really Helpful for Knowledge Graph Completion?,Posters,,10.18653/v1/2023.acl-long.597
68,258,To Copy Rather Than Memorize: A Vertical Learning Paradigm for Knowledge Graph Completion,Virtual Poster,,10.18653/v1/2023.acl-long.349
69,267,Infusing Hierarchical Guidance into Prompt Tuning: A Parameter-Efficient Framework for Multi-level Implicit Discourse Relation Recognition,Posters,,10.18653/v1/2023.acl-long.357
70,269,XtremeCLIP: Extremely Parameter-efficient Tuning for Low-resource Vision Language Understanding,,,10.18653/v1/2023.findings-acl.397
71,273,Rethinking Semi-supervised Learning with Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.347
72,274,"Reinforced Active Learning for Low-Resource, Domain-Specific, Multi-Label Text Classification",Virtual Poster,,10.18653/v1/2023.findings-acl.697
73,276,Pretrained Bidirectional Distillation for Machine Translation,Virtual Poster,,10.18653/v1/2023.acl-long.63
74,279,Robustness of Multi-Source MT to Transcription Errors,Virtual Poster,,10.18653/v1/2023.findings-acl.228
75,282,Linear Classifier: An Often-Forgotten Baseline for Text Classification,Posters,,10.18653/v1/2023.acl-short.160
76,283,Crosslingual Generalization through Multitask Finetuning,Posters,,10.18653/v1/2023.acl-long.891
77,284,Soft Alignment Objectives for Robust Adaptation of Language Generation,Posters,,10.18653/v1/2023.acl-long.492
78,286,"Do Androids Laugh at Electric Sheep? Humor ""Understanding"" Benchmarks from The New Yorker Caption Contest",Posters,,
79,290,Teacher and Student Models of Offensive Language in Social Media,,,10.18653/v1/2023.findings-acl.241
80,292,Dissecting Transformer Length Extrapolation via the Lens of Receptive Field Analysis,Posters,,10.18653/v1/2023.acl-long.756
81,293,"Conflicts, Villains, Resolutions: Towards models of Narrative Media Framing",Computational Social Science and Cultural Analytics,False,10.18653/v1/2023.acl-long.486
82,294,Training-free Neural Architecture Search for RNNs and Transformers,Posters,,10.18653/v1/2023.acl-long.142
83,295,Small Pre-trained Language Models Can be Fine-tuned as Large Models via Over-Parameterization,Machine Learning for NLP,False,10.18653/v1/2023.acl-long.212
84,299,TECHS: Temporal Logical Graph Networks for Explainable Extrapolation Reasoning,Virtual Poster,,10.18653/v1/2023.acl-long.71
85,300,Exploiting Hierarchically Structured Categories in Fine-grained Chinese Named Entity Recognition,Virtual Poster,,10.18653/v1/2023.findings-acl.211
86,302,On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,Information Extraction / Generation,False,10.18653/v1/2023.acl-long.674
87,304,In-context Examples Selection for Machine Translation,Virtual Poster,,10.18653/v1/2023.findings-acl.564
88,312,In-sample Curriculum Learning by Sequence Completion for Natural Language Generation,Posters,,10.18653/v1/2023.acl-long.666
89,317,Learning Joint Structural and Temporal Contextualized Knowledge Embeddings for Temporal Knowledge Graph Completion,,,10.18653/v1/2023.findings-acl.28
90,319,Bring More Attention to Syntactic Symmetry for Automatic Postediting of High-Quality Machine Translations,Posters,,10.18653/v1/2023.acl-short.122
91,322,IDRISI-RA: The First Arabic Location Mention Recognition Dataset of Disaster Tweets,Posters,,10.18653/v1/2023.acl-long.901
92,324,DialoGPS: Dialogue Path Sampling in Continuous Semantic Space for Data Augmentation in Multi-Turn Conversations,Virtual Poster,,10.18653/v1/2023.acl-long.70
93,326,Post-Abstention: Towards Reliably Re-Attempting the Abstained Instances in QA,Question Answering,False,10.18653/v1/2023.acl-long.55
94,327,Attention as a Guide for Simultaneous Speech Translation,Posters,,10.18653/v1/2023.acl-long.745
95,328,What are the Desired Characteristics of Calibration Sets? Identifying Correlates on Long Form Scientific Summarization,Summarization,False,10.18653/v1/2023.acl-long.587
96,331,LABO: Towards Learning Optimal Label Regularization via Bi-level Optimization,Virtual Poster,,10.18653/v1/2023.findings-acl.356
97,336,Pruning Pre-trained Language Models with Principled Importance and Self-regularization,,,10.18653/v1/2023.findings-acl.573
98,339,Faking Fake News for Real Fake News Detection: Propaganda-Loaded Training Data Generation,Posters,,10.18653/v1/2023.acl-long.815
99,341,CLAPSpeech: Learning Prosody from Text Context with Contrastive Language-Audio Pre-Training,Posters,,10.18653/v1/2023.acl-long.518
100,342,Improved Visual Story Generation with Adaptive Context Modeling,,,10.18653/v1/2023.findings-acl.305
101,343,FluentSpeech: Stutter-Oriented Automatic Speech Editing with Context-Aware Diffusion Models,,,10.18653/v1/2023.findings-acl.741
102,345,AltCLIP: Altering the Language Encoder in CLIP for Extended Language Capabilities,Virtual Poster,,10.18653/v1/2023.findings-acl.552
103,347,FiDO: Fusion-in-Decoder optimized for stronger performance and faster inference,,,10.18653/v1/2023.findings-acl.732
104,348,Structured Pruning for Efficient Generative Pre-trained Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.692
105,352,What the DAAM: Interpreting Stable Diffusion Using Cross Attention,Posters,,10.18653/v1/2023.acl-long.310
106,353,Opinion Tree Parsing for Aspect-based Sentiment Analysis,Virtual Poster,,10.18653/v1/2023.findings-acl.505
107,355,Query Enhanced Knowledge-Intensive Conversation via Unsupervised Joint Modeling,Virtual Poster,,10.18653/v1/2023.acl-long.97
108,360,Pseudo Outlier Exposure for Out-of-Distribution Detection using Pretrained Transformers,,,10.18653/v1/2023.findings-acl.95
109,361,WYWEB: A NLP Evaluation Benchmark For Classical Chinese,,,10.18653/v1/2023.findings-acl.204
110,366,A  Set Prediction Network For Extractive Summarization,,,
111,367,RetroMAE-2: Duplex Masked Auto-Encoder For Pre-Training Retrieval-Oriented Language Models,Large Language Models,False,10.18653/v1/2023.acl-long.148
112,377,MasakhaPOS: Part-of-Speech Tagging for Typologically Diverse African languages,Linguistic Diversity,False,10.18653/v1/2023.acl-long.609
113,378,Reference Matters: Benchmarking Factual Error Correction for Dialogue Summarization with Fine-grained Evaluation Framework,Virtual Poster,,10.18653/v1/2023.acl-long.779
114,379,An Open Dataset and Model for Language Identification,Posters,,10.18653/v1/2023.acl-short.75
115,382,Boosting Distress Support Dialogue Responses with Motivational Interviewing Strategy,Findings Spotlights I,,10.18653/v1/2023.findings-acl.334
116,384,Prompting Language Models for Linguistic Structure,Posters,,10.18653/v1/2023.acl-long.367
117,391,A fine-grained comparison of pragmatic language understanding in humans and language models,Posters,,10.18653/v1/2023.acl-long.230
118,392,Code4Struct: Code Generation for Few-Shot Event Structure Prediction,Posters,,10.18653/v1/2023.acl-long.202
119,394,Detecting Contradictory COVID-19 Drug Efficacy Claims from Biomedical Literature,Posters,,10.18653/v1/2023.acl-short.61
120,395,Moving Beyond Downstream Task Accuracy for Information Retrieval Benchmarking,Virtual Poster,,10.18653/v1/2023.findings-acl.738
121,399,Inducing Character-level Structure in Subword-based Language Models with Type-level Interchange Intervention Training,Findings Spotlights III,,10.18653/v1/2023.findings-acl.770
122,403,DopplerBAS: Binaural Audio Synthesis Addressing Doppler Effect,,,10.18653/v1/2023.findings-acl.753
123,404,DisorBERT: A Double Domain Adaptation Model for Detecting Signs of Mental Disorders in Social Media,Posters,,10.18653/v1/2023.acl-long.853
124,406,Recurrent Attention Networks for Long-text Modeling,Virtual Poster,,10.18653/v1/2023.findings-acl.188
125,410,Diffusion Theory as a Scalpel: Detecting and Purifying Poisonous Dimensions in Pre-trained Language Models Caused by Backdoor or Bias,,,10.18653/v1/2023.findings-acl.157
126,411,Uncertainty-Aware Bootstrap Learning for Joint Extraction on Distantly-Supervised Data,Virtual Poster,,10.18653/v1/2023.acl-short.116
127,415,Do Large Language Models Know What They Don't Know?,Virtual Poster,,
128,420,Exploring and Verbalizing Academic Ideas by Concept Co-occurrence,Virtual Poster,,10.18653/v1/2023.acl-long.727
129,424,Unsupervised Graph-Text Mutual Conversion with a Unified Pretrained Language Model,Virtual Poster,,10.18653/v1/2023.acl-long.281
130,425,E-NER: Evidential Deep Learning for Trustworthy Named Entity Recognition,,,10.18653/v1/2023.findings-acl.103
131,426,A Hierarchical Explanation Generation Method Based on Feature Interaction Detection,Virtual Poster,,10.18653/v1/2023.findings-acl.798
132,427,RHO: Reducing Hallucination in Open-domain Dialogues with Knowledge Grounding,Virtual Poster,,10.18653/v1/2023.findings-acl.275
133,430,Uncertainty Guided Label Denoising for Document-level Distant Relation Extraction,Information Extraction / Generation,False,10.18653/v1/2023.acl-long.889
134,432,Reducing Sensitivity on Speaker Names for Text Generation from Dialogues,Virtual Poster,,10.18653/v1/2023.findings-acl.129
135,433,NusaCrowd: Open Source Initiative for Indonesian NLP Resources,Virtual Poster,,10.18653/v1/2023.findings-acl.868
136,437,Multi-source Semantic Graph-based Multimodal Sarcasm Explanation Generation,Virtual Poster,,10.18653/v1/2023.acl-long.635
137,442,A Systematic Study of Knowledge Distillation for Natural Language Generation with Pseudo-Target Training,Posters,,10.18653/v1/2023.acl-long.818
138,451,RobuT: A Systematic Study of Table QA Robustness Against Human-Annotated Adversarial Perturbations,Posters,,10.18653/v1/2023.acl-long.334
139,452,"Expand, Rerank, and Retrieve: Query Reranking for Open-Domain Question Answering",Findings Spotlights I,,10.18653/v1/2023.findings-acl.768
140,453,Graph Reasoning for Question Answering with Triplet Retrieval,,,10.18653/v1/2023.findings-acl.208
141,456,Teaching the Pre-trained Model to Generate Simple Texts for Text Simplification,Virtual Poster,,10.18653/v1/2023.findings-acl.595
142,466,Clustering-Aware Negative Sampling for Unsupervised Sentence Representation,,,10.18653/v1/2023.findings-acl.555
143,467,HiPool: Modeling Long Documents Using Graph Neural Networks,Posters,,10.18653/v1/2023.acl-short.16
144,468,Reasoning Implicit Sentiment with Chain-of-Thought Prompting,Posters,,10.18653/v1/2023.acl-short.101
145,469,Contrastive Token-Wise Meta-Learning for Unseen Performer Visual Temporal-Aligned Translation,,,10.18653/v1/2023.findings-acl.699
146,471,Text Augmented Open Knowledge Graph Completion via Pre-Trained Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.709
147,472,Enhancing Language Representation with Constructional Information for Natural Language Understanding,Virtual Poster,,10.18653/v1/2023.acl-long.258
148,474,Bootstrapping Neural Relation and Explanation Classifiers,Virtual Poster,,10.18653/v1/2023.acl-short.5
149,477,Counterfactual Multihop QA: A Cause-Effect Approach for Reducing Disconnected Reasoning,Virtual Poster,,10.18653/v1/2023.acl-long.231
150,481,Envisioning Future from the Past: Hierarchical Duality Learning for Multi-Turn Dialogue Generation,Dialogue and Interactive Systems,False,10.18653/v1/2023.acl-long.407
151,485,Learned Adapters Are Better Than Manually Designed Adapters,,,10.18653/v1/2023.findings-acl.468
152,486,AD-KD: Attribution-Driven Knowledge Distillation for Language Model Compression,Virtual Poster,,10.18653/v1/2023.acl-long.471
153,487,ParaLS: Lexical Substitution via Pretrained Paraphraser,Virtual Poster,,10.18653/v1/2023.acl-long.206
154,488,I am PsyAM: Modeling Happiness with Cognitive Appraisal Dimensions,,,10.18653/v1/2023.findings-acl.77
155,491,End-to-End Simultaneous Speech Translation with Differentiable Segmentation,,,10.18653/v1/2023.findings-acl.485
156,495,Code Execution with Pre-trained Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.308
157,496,SPEECH: Structured Prediction with Energy-Based Event-Centric Hyperspheres,Posters,,10.18653/v1/2023.acl-long.21
158,501,Revisiting Event Argument Extraction: Can EAE Models Learn Better When Being Aware of Event Co-occurrences?,Virtual Poster,,10.18653/v1/2023.acl-long.701
159,505,Accelerating Transformer Inference for Translation via Parallel Decoding,Posters,,10.18653/v1/2023.acl-long.689
160,510,Evaluation for Change,,,10.18653/v1/2023.findings-acl.522
161,511,Contrastive Decoding: Open-ended Text Generation as Optimization,Virtual Poster,,10.18653/v1/2023.acl-long.687
162,514,PuMer: Pruning and Merging Tokens for Efficient Vision Language Models,Virtual Poster,,10.18653/v1/2023.acl-long.721
163,518,From Characters to Words: Hierarchical Pre-trained Language Model for Open-vocabulary Language Understanding,Virtual Poster,,10.18653/v1/2023.acl-long.200
164,521,Distilling Script Knowledge from Large Language Models for Constrained Language Planning,Posters,,10.18653/v1/2023.acl-long.236
165,522,Target-Based Offensive Language Identification,Posters,,10.18653/v1/2023.acl-short.66
166,525,G-Tuning: Improving Generalization of Pre-trained Language Models with Generative Adversarial Network,,,10.18653/v1/2023.findings-acl.291
167,526,Causality-aware Concept Extraction based on Knowledge-guided Prompting,Posters,,10.18653/v1/2023.acl-long.514
168,527,CONE: An Efficient COarse-to-fiNE Alignment Framework for Long Video Temporal Grounding,Virtual Poster,,10.18653/v1/2023.acl-long.445
169,530,Zero-shot Faithful Factual Error Correction,Posters,,10.18653/v1/2023.acl-long.311
170,532,Vision Language Pre-training by Contrastive Learning with Cross-Modal Similarity Regulation,Speech and Multimodality,False,10.18653/v1/2023.acl-long.819
171,533,Self-adaptive Context and Modal-interaction Modeling For Multimodal Emotion Recognition,,,10.18653/v1/2023.findings-acl.390
172,534,Exploiting Pseudo Image Captions for Multimodal Summarization,,,10.18653/v1/2023.findings-acl.12
173,535,Boosting Event Extraction with Denoised Structure-to-Text Augmentation,,,10.18653/v1/2023.findings-acl.716
174,536,HistRED: A Historical Document-Level Relation Extraction Dataset,Posters,,10.18653/v1/2023.acl-long.180
175,539,Improving Zero-shot Multilingual Neural Machine Translation by Leveraging Cross-lingual Consistency Regularization,,,10.18653/v1/2023.findings-acl.766
176,540,ConFEDE: Contrastive Feature Decomposition for Multimodal Sentiment Analysis,Posters,,10.18653/v1/2023.acl-long.421
177,541,MixPAVE: Mix-Prompt Tuning for Few-shot Product Attribute Value Extraction,Virtual Poster,,10.18653/v1/2023.findings-acl.633
178,544,Non-Sequential Graph Script Induction via Multimedia Grounding,Posters,,10.18653/v1/2023.acl-long.303
179,547,Unified Demonstration Retriever for In-Context Learning,Large Language Models,False,10.18653/v1/2023.acl-long.256
180,548,FastDiff 2: Revisiting and Incorporating GANs and Diffusion Models in High-Fidelity Speech Synthesis,Findings Spotlights II,,10.18653/v1/2023.findings-acl.437
181,549,Investigating Transformer-Guided Chaining for Interpretable Natural Logic Reasoning,Virtual Poster,,10.18653/v1/2023.findings-acl.588
182,550,Rethinking Annotation: Can Language Learners Contribute?,Posters,,10.18653/v1/2023.acl-long.822
183,553,Prosody-TTS: Improving Prosody with Masked Autoencoder and Conditional Diffusion Model For Expressive Text-to-Speech,Virtual Poster,,10.18653/v1/2023.findings-acl.508
184,555,AV-TranSpeech: Audio-Visual Robust Speech-to-Speech Translation,Virtual Poster,,10.18653/v1/2023.acl-long.479
185,558,Fantastic Expressions and Where to Find Them: Chinese Simile Generation with Multiple Constraints,Virtual Poster,,10.18653/v1/2023.acl-long.28
186,563,Exploring the Capacity of Pretrained Language Models for Reasoning about Actions and Change,Virtual Poster,,10.18653/v1/2023.acl-long.255
187,568,PromptRank: Unsupervised Keyphrase Extraction Using Prompt,Virtual Poster,,10.18653/v1/2023.acl-long.545
188,571,Beyond Positive Scaling: How Negation Impacts Scaling Trends of Language Models,Virtual Poster,,10.18653/v1/2023.findings-acl.472
189,576,"From the One, Judge of the Whole: Typed Entailment Graph Construction with Predicate Generation",Posters,,10.18653/v1/2023.acl-long.196
190,578,Decouple knowledge from paramters for plug-and-play language modeling,,,10.18653/v1/2023.findings-acl.901
191,581,An Embarrassingly Easy but Strong Baseline for Nested Named Entity Recognition,Virtual Poster,,10.18653/v1/2023.acl-short.123
192,582,Generating Hashtags for Short-form Videos with Guided Signals,Virtual Poster,,10.18653/v1/2023.acl-long.527
193,584,HiFi: High-Information Attention Heads Hold for Parameter-Efficient Model Adaptation,Virtual Poster,,10.18653/v1/2023.acl-long.475
194,585,UTC-IE: A Unified Token-pair Classification Architecture for Information Extraction,Virtual Poster,,10.18653/v1/2023.acl-long.226
195,586,Class Lifelong Learning for Intent Detection via Structure Consolidation Networks,,,10.18653/v1/2023.findings-acl.20
196,589,Disentangled Phonetic Representation for Chinese Spelling Correction,Virtual Poster,,10.18653/v1/2023.acl-long.755
197,590,How does the task complexity of masked pretraining objectives affect downstream performance?,Findings Spotlights II,,10.18653/v1/2023.findings-acl.669
198,594,PAL: Persona-Augmented Emotional Support Conversation Generation,,,10.18653/v1/2023.findings-acl.34
199,596,Can Language Models Make Fun? A Case Study in Chinese Comical Crosstalk,Virtual Poster,,10.18653/v1/2023.acl-long.419
200,598,What Is Overlap Knowledge in Event Argument Extraction? APE: A Cross-datasets Transfer Learning Model for EAE,Virtual Poster,,10.18653/v1/2023.acl-long.24
201,599,CELDA: Leveraging Black-box Language Model as Enhanced Classifier without Labels,Posters,,10.18653/v1/2023.acl-long.239
202,600,MM-SHAP: A Performance-agnostic Metric for Measuring Multimodal Contributions in Vision and Language Models & Tasks,Posters,,10.18653/v1/2023.acl-long.223
203,601,Are You Copying My Model? Protecting the Copyright of Large Language Models for EaaS via Backdoor Watermark,Virtual Poster,,10.18653/v1/2023.acl-long.423
204,604,Learning Query Adaptive Anchor Representation for Inductive Relation Prediction,Virtual Poster,,10.18653/v1/2023.findings-acl.882
205,605,Shrinking Embeddings for Hyper-Relational Knowledge Graphs,Posters,,10.18653/v1/2023.acl-long.743
206,606,On Text-based Personality Computing: Challenges and Future Directions,Virtual Poster,,10.18653/v1/2023.findings-acl.691
207,608,Cross-View Language Modeling: Towards Unified Cross-Lingual Cross-Modal Pre-training,Virtual Poster,,10.18653/v1/2023.acl-long.315
208,609,Information Screening whilst Exploiting! Multimodal Relation Extraction with Feature Denoising and Multimodal Topic Modeling,Posters,,10.18653/v1/2023.acl-long.823
209,610,GDA: Generative Data Augmentation Techniques for Relation Extraction Tasks,,,10.18653/v1/2023.findings-acl.649
210,612,Understanding and Bridging the Modality Gap for Speech Translation,Virtual Poster,,10.18653/v1/2023.acl-long.884
211,613,Universal Information Extraction with Meta-Pretrained Self-Retrieval,,,10.18653/v1/2023.findings-acl.251
212,614,Environmental Claim Detection,Posters,,10.18653/v1/2023.acl-short.91
213,618,Fine-grained Artificial Neurons in Audio-transformers for Disentangling Neural Auditory Encoding,,,10.18653/v1/2023.findings-acl.503
214,619,PMAES: Prompt-mapping Contrastive Learning for Cross-prompt Automated Essay Scoring,NLP Applications,False,10.18653/v1/2023.acl-long.83
215,620,Self-Distilled Quantization: Achieving High Compression Rates in Transformer-Based Language Models,Virtual Poster,,10.18653/v1/2023.acl-short.114
216,624,RankCSE: Unsupervised Sentence Representations Learning via Learning to Rank,Machine Learning for NLP,False,10.18653/v1/2023.acl-long.771
217,625,Multimodal Prompt Learning for Product Title Generation with Extremely Limited Labels,,,10.18653/v1/2023.findings-acl.166
218,626,STT4SG-350: A Speech Corpus for All Swiss German Dialect Regions,Posters,,10.18653/v1/2023.acl-short.150
219,633,Uncovering Hidden Consequences of Pre-training Objectives in Sequence-to-Sequence Models,,,10.18653/v1/2023.findings-acl.438
220,642,Multi-Grained Knowledge Retrieval for End-to-End Task-Oriented Dialog,Virtual Poster,,10.18653/v1/2023.acl-long.627
221,645,Leveraging Training Data in Few-Shot Prompting for Numerical Reasoning,Virtual Poster,,10.18653/v1/2023.findings-acl.668
222,647,Global and Local Hierarchy-aware Contrastive Framework for Implicit Discourse Relation Recognition,,,10.18653/v1/2023.findings-acl.510
223,650,White-Box Multi-Objective Adversarial Attack on Dialogue Generation,Virtual Poster,,10.18653/v1/2023.acl-long.100
224,651,From Key Points to Key Point Hierarchy: Structured and Expressive Opinion Summarization,Posters,,10.18653/v1/2023.acl-long.52
225,652,ManagerTower: Aggregating the Insights of Uni-Modal Experts for Vision-Language Representation Learning,Speech and Multimodality,False,10.18653/v1/2023.acl-long.811
226,657,Automatic Readability Assessment for Closely Related Languages,Virtual Poster,,10.18653/v1/2023.findings-acl.331
227,658,Model-Based Simulation for Optimising Smart Reply,Virtual Poster,,10.18653/v1/2023.acl-long.672
228,661,Towards Reasoning in Large Language Models: A Survey,Virtual Poster,,10.18653/v1/2023.findings-acl.67
